Member Union,Tier,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ENGLAND,1,High Performance,93.99,86.59,83.27,78.61,85.57,80.87,80.72,82.48,81.58,83.9,85.7,85.68,79.76,90.47,90.88,86.23,88.73
IRELAND,1,High Performance,80.53,82.61,80.03,84.67,78.67,78.51,84.6,81.79,80.65,80.22,79.33,82.13,81.17,84.63,86.4,91.18,84.24
WALES,1,High Performance,76.92,76.91,82.54,76.87,74.17,81.03,79.89,77.04,79.61,78.39,80.19,80.7,83.49,82.56,82.09,87.26,79.77
FRANCE,1,High Performance,82.71,83.7,86.1,85.87,80.36,79.51,82.41,81.66,84.7,85.07,80.87,80.07,79.77,80.14,78.11,77.34,85.66
SCOTLAND,1,High Performance,76.36,74.65,73.52,76.73,76.7,76.75,76.59,81.2,76.2,75.83,76.56,75.16,78.01,80.71,84.13,81.86,81.21
ITALY,1,High Performance,71.88,72.51,72.18,72.79,73.29,74.56,72.59,73.31,73.99,76.24,73.13,72.05,72.79,72.5,71.27,72.76,70.88
